회사명,제목,마감일,주소,급여
이도에코한림 주식회사,레미콘 출하 직원 채용,24/11/24,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K163012411060001&rtnTarget=list13,"연봉3,400만원이상"
유한회사 그린,거래처 물품 납품 직원 (경력무관) 채용,24/11/09,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K163022411060002&rtnTarget=list14,월급350만원~400만원
한샘리하우스 제주홈인테리어 대리점,마케팅 사원 구함,채용시까지,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K163022411060001&rtnTarget=list15,월급212만원이상
주식회사 에스엠,제주대학교 공과대학 1호관  시설보수(기계설비유지관리)원 채용,채용시까지,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K131412411050077&rtnTarget=list16,월급240만원이상
주식회사일해,지게차 기사 모집(단기간),24/11/19,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K163012411050025&rtnTarget=list17,월급230만원~230만원
주식회사일해,(주)일해 생산공무직 모집,24/11/19,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K163012411050024&rtnTarget=list18,"연봉3,200만원~3,300만원"
주식회사일해,생산직 모집(단기간),24/11/19,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K163012411050023&rtnTarget=list19,"시급11,000원~11,000원"
주식회사 젯트,[주식회사 젯트] 기업부설연구소 연구원 채용,24/12/31,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K163012411050022&rtnTarget=list20,"연봉3,000만원이상"
유한회사 그린,일반사무직,채용시까지,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KF11202411050002&rtnTarget=list21,월급230만원~230만원
삼보엠피(주),제주렌트카 사무보조 직원 모집,24/11/19,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K120142411050023&rtnTarget=list22,월급280만원이상
(주)삼구아이앤씨,(삼구INC) SK렌터카 제주지사 출고/반납/이동 팀원 모집,24/12/31,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K120122411050025&rtnTarget=list23,월급285만원~305만원
(주)다다른컴퍼니,(주)다다른컴퍼니 제주 영상 디자인팀 담당 채용,채용시까지,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K163012411050021&rtnTarget=list24,월급250만원~300만원
록산에버그린주식회사,록산에버그린(주) 호근동현장 특수경비원 모집합니다,24/11/30,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K163012411050020&rtnTarget=list25,월급250만원이상
(주)명현건축디자인,(주)명현건축디자인 '건설경리 및 관리' 직원 모집,채용시까지,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K163012411050019&rtnTarget=list26,"연봉3,400만원이상"
화한글로벌 주식회사,호텔·콘도·숙박시설 청소원(룸메이드),채용시까지,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K163012411050018&rtnTarget=list27,"연봉2,480만원~2,480만원"
연진호,연근해 갑판원 모집,채용시까지,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K163012411050017&rtnTarget=list28,"시급9,860원이상"
제주대학교산학협력단,2024년 제3차 제주감염병관리지원단 채용 공고,24/11/15,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K163012411050016&rtnTarget=list29,"연봉2,472만원이상"
영주물산(주),배달사원 구함,채용시까지,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K163022411050002&rtnTarget=list30,"연봉3,800만원~4,500만원"
농업회사법인주식회사황금낭,농장관리 책임자 모집합니다,24/11/30,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K163022411050001&rtnTarget=list31,월급260만원이상
(주)아이디에프통상,신라면세점 제주점 전자담배 릴렉스 매니저/판촉사원 채용,25/01/04,https://www.work.go.kr/empInfo/empInfoSrch/detail/retrivePriEmpDtlView.do?searchInfoType=CSI&iorgGbcd=CSI&callPage=detail&wantedAuthNo=49339326&rtnTarget=list32&pageIndex=1&rtnUrl=/empInfo/empInfoSrch/list/dtlEmpSrchList.do?len=0&regionArr=[Ljava.lang.String;@74259277&pageSize=10&firstIndex=1&lastIndex=1&recordCountPerPage=10&region=50000&siteClcd=all&benefitSrchAndOr=O&areaRegion=11000&areaArc=1&staAreaLineInfo1=11000&staAreaLineInfo2=1&codeDepth1Info=11000&codeDepth2Info=11000&listCookieInfo=DTL&srchJobNum=0&resultCntInfo=50&sortOrderByInfo=DESC&sortFieldInfo=DATE&essCertChk=N&empTpGbcd=1&sortField=DATE&sortOrderBy=DESC&resultCnt=50&&onlyTitleSrchYn=N&keywordWantedTitle=N&keywordBusiNm=N&keywordStaAreaNm=N,회사내규에따름
동홍반석아르미아파트,동홍반석아르미아파트 경리사무원,채용시까지,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KF10542411050001&rtnTarget=list33,월급150만원~150만원
의료법인혜인의료재단한국병원,한국병원 간호부 병동 업무보조  모집,24/11/11,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K163012411050015&rtnTarget=list34,"연봉2,700만원~2,750만원"
제주 팜,[제주팜] 계란배달기사 채용,24/12/05,https://www.work.go.kr/empInfo/empInfoSrch/detail/retrivePriEmpDtlView.do?searchInfoType=CJK&iorgGbcd=CJK&callPage=detail&wantedAuthNo=48011188&rtnTarget=list35&pageIndex=1&rtnUrl=/empInfo/empInfoSrch/list/dtlEmpSrchList.do?len=0&regionArr=[Ljava.lang.String;@74259277&pageSize=10&firstIndex=1&lastIndex=1&recordCountPerPage=10&region=50000&siteClcd=all&benefitSrchAndOr=O&areaRegion=11000&areaArc=1&staAreaLineInfo1=11000&staAreaLineInfo2=1&codeDepth1Info=11000&codeDepth2Info=11000&listCookieInfo=DTL&srchJobNum=0&resultCntInfo=50&sortOrderByInfo=DESC&sortFieldInfo=DATE&essCertChk=N&empTpGbcd=1&sortField=DATE&sortOrderBy=DESC&resultCnt=50&&onlyTitleSrchYn=N&keywordWantedTitle=N&keywordBusiNm=N&keywordStaAreaNm=N,회사내규에따름
㈜휴콥,롯데시티호텔 제주 시설소장님 모집,채용시까지,https://www.work.go.kr/empInfo/empInfoSrch/detail/retrivePriEmpDtlView.do?searchInfoType=CJK&iorgGbcd=CJK&callPage=detail&wantedAuthNo=48011009&rtnTarget=list36&pageIndex=1&rtnUrl=/empInfo/empInfoSrch/list/dtlEmpSrchList.do?len=0&regionArr=[Ljava.lang.String;@74259277&pageSize=10&firstIndex=1&lastIndex=1&recordCountPerPage=10&region=50000&siteClcd=all&benefitSrchAndOr=O&areaRegion=11000&areaArc=1&staAreaLineInfo1=11000&staAreaLineInfo2=1&codeDepth1Info=11000&codeDepth2Info=11000&listCookieInfo=DTL&srchJobNum=0&resultCntInfo=50&sortOrderByInfo=DESC&sortFieldInfo=DATE&essCertChk=N&empTpGbcd=1&sortField=DATE&sortOrderBy=DESC&resultCnt=50&&onlyTitleSrchYn=N&keywordWantedTitle=N&keywordBusiNm=N&keywordStaAreaNm=N,월급400만원~400만원
한국투자증권㈜,FY2024 한국투자증권 경력 업무직원 공채,24/11/18,https://www.work.go.kr/empInfo/empInfoSrch/detail/retrivePriEmpDtlView.do?searchInfoType=CJK&iorgGbcd=CJK&callPage=detail&wantedAuthNo=47993835&rtnTarget=list37&pageIndex=1&rtnUrl=/empInfo/empInfoSrch/list/dtlEmpSrchList.do?len=0&regionArr=[Ljava.lang.String;@74259277&pageSize=10&firstIndex=1&lastIndex=1&recordCountPerPage=10&region=50000&siteClcd=all&benefitSrchAndOr=O&areaRegion=11000&areaArc=1&staAreaLineInfo1=11000&staAreaLineInfo2=1&codeDepth1Info=11000&codeDepth2Info=11000&listCookieInfo=DTL&srchJobNum=0&resultCntInfo=50&sortOrderByInfo=DESC&sortFieldInfo=DATE&essCertChk=N&empTpGbcd=1&sortField=DATE&sortOrderBy=DESC&resultCnt=50&&onlyTitleSrchYn=N&keywordWantedTitle=N&keywordBusiNm=N&keywordStaAreaNm=N,회사내규에따름
근로복지공단제주어린이집,근로복지공단제주어린이집 영양사 채용공고,24/11/15,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K163012411050014&rtnTarget=list38,월급230만원~230만원
제주선한병원,제주선한병원 병동 간호사 직원 추가 모집-3교대,24/11/19,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K163012411050013&rtnTarget=list39,"연봉3,080만원이상"
제주선한병원,제주선한병원 작업치료사 직원 추가 모집,24/11/19,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K163012411050012&rtnTarget=list40,"연봉2,472만원이상"
제주선한병원,제주선한병원 물리치료사 직원 추가 모집,24/11/19,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K163012411050011&rtnTarget=list41,"연봉2,472만원이상"
